;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
201601;Enero de 2016;1;Andalucía;14;Córdoba;14011;Blázquez, Los;179;18;36;32;9;38;46;29;3;45;91;11
201601;Enero de 2016;1;Andalucía;14;Córdoba;14012;Bujalance;1301;71;147;227;95;296;465;687;34;209;281;90
201601;Enero de 2016;1;Andalucía;14;Córdoba;14013;Cabra;2869;167;413;541;186;664;898;658;244;387;1258;322
201601;Enero de 2016;1;Andalucía;14;Córdoba;14014;Cañete de las Torres;322;11;35;56;14;62;144;131;9;77;86;19
201601;Enero de 2016;1;Andalucía;14;Córdoba;14015;Carcabuey;292;17;41;50;10;65;109;76;13;26;157;20
201601;Enero de 2016;1;Andalucía;14;Córdoba;14016;Cardeña;263;14;24;55;17;59;94;66;10;72;103;12
201601;Enero de 2016;1;Andalucía;14;Córdoba;14017;Carlota, La;2889;166;502;491;134;761;835;1184;138;416;991;160
201601;Enero de 2016;1;Andalucía;14;Córdoba;14018;Carpio, El;863;54;141;159;53;185;271;202;60;129;390;82
201601;Enero de 2016;1;Andalucía;14;Córdoba;14019;Castro del Río;1275;37;141;246;65;322;464;581;34;204;397;59
201601;Enero de 2016;1;Andalucía;14;Córdoba;14020;Conquista;47;3;12;8;3;9;12;9;0;11;26;1
201601;Enero de 2016;1;Andalucía;14;Córdoba;14021;Córdoba;49773;2444;9355;10364;2428;12019;13163;2597;4327;4204;32193;6452
201601;Enero de 2016;1;Andalucía;14;Córdoba;14022;Doña Mencía;646;28;65;114;45;162;232;277;38;96;180;55
201601;Enero de 2016;1;Andalucía;14;Córdoba;14023;Dos Torres;367;12;32;81;34;78;130;25;29;79;202;32
201601;Enero de 2016;1;Andalucía;14;Córdoba;14024;Encinas Reales;399;22;42;64;24;104;143;79;18;129;135;38
201601;Enero de 2016;1;Andalucía;14;Córdoba;14025;Espejo;421;11;30;66;17;95;202;170;10;101;126;14
201601;Enero de 2016;1;Andalucía;14;Córdoba;14026;Espiel;425;21;71;89;30;117;97;52;57;56;228;32
201601;Enero de 2016;1;Andalucía;14;Córdoba;14027;Fernán-Núñez;1835;126;265;331;126;420;567;562;68;137;863;205
201601;Enero de 2016;1;Andalucía;14;Córdoba;14028;Fuente la Lancha;94;6;21;12;7;26;22;5;3;24;61;1
201601;Enero de 2016;1;Andalucía;14;Córdoba;14029;Fuente Obejuna;1120;64;190;265;61;222;318;148;77;156;626;113
201601;Enero de 2016;1;Andalucía;14;Córdoba;14030;Fuente Palmera;2305;110;375;456;110;538;716;1193;112;376;550;74
201601;Enero de 2016;1;Andalucía;14;Córdoba;14031;Fuente-Tójar;102;5;9;16;11;20;41;44;4;6;43;5
201601;Enero de 2016;1;Andalucía;14;Córdoba;14032;Granjuela, La;123;8;20;28;10;19;38;18;8;42;51;4
201601;Enero de 2016;1;Andalucía;14;Córdoba;14033;Guadalcázar;340;23;40;58;27;90;102;98;9;79;137;17
201601;Enero de 2016;1;Andalucía;14;Córdoba;14034;Guijo, El;50;5;6;14;3;9;13;5;0;1;42;2
201601;Enero de 2016;1;Andalucía;14;Córdoba;14035;Hinojosa del Duque;1239;79;156;208;86;339;371;70;87;193;711;178
201601;Enero de 2016;1;Andalucía;14;Córdoba;14036;Hornachuelos;945;35;131;176;64;223;316;437;15;294;168;31
201601;Enero de 2016;1;Andalucía;14;Córdoba;14037;Iznájar;408;22;32;106;24;81;143;110;11;95;173;19
201601;Enero de 2016;1;Andalucía;14;Córdoba;14038;Lucena;6636;375;937;1194;437;1889;1804;1385;1128;526;2869;728
201601;Enero de 2016;1;Andalucía;14;Córdoba;14039;Luque;458;22;35;100;49;97;155;200;14;66;151;27
201601;Enero de 2016;1;Andalucía;14;Córdoba;14040;Montalbán de Córdoba;589;19;63;76;27;175;229;356;18;64;133;18
201601;Enero de 2016;1;Andalucía;14;Córdoba;14041;Montemayor;755;36;102;148;49;173;247;288;38;156;231;42
201601;Enero de 2016;1;Andalucía;14;Córdoba;14042;Montilla;3465;150;464;605;203;872;1171;837;354;389;1534;351
201601;Enero de 2016;1;Andalucía;14;Córdoba;14043;Montoro;1693;63;223;342;125;422;518;752;97;94;645;105
201601;Enero de 2016;1;Andalucía;14;Córdoba;14044;Monturque;275;3;27;52;23;75;95;100;11;75;77;12
201601;Enero de 2016;1;Andalucía;14;Córdoba;14045;Moriles;712;33;82;118;44;169;266;337;23;141;175;36
201601;Enero de 2016;1;Andalucía;14;Córdoba;14046;Nueva Carteya;681;15;71;136;36;155;268;348;13;148;140;32
201601;Enero de 2016;1;Andalucía;14;Córdoba;14047;Obejo;317;23;50;61;21;76;86;50;17;54;173;23
201601;Enero de 2016;1;Andalucía;14;Córdoba;14048;Palenciana;232;10;24;36;20;65;77;79;7;6;126;14
