;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201105;Mayo de 2011;7;Castilla y León;24;León;22464;16723;5186;555;0
201105;Mayo de 2011;7;Castilla y León;34;Palencia;6434;4775;1450;209;0
201105;Mayo de 2011;7;Castilla y León;37;Salamanca;13818;9672;3541;605;0
201105;Mayo de 2011;7;Castilla y León;40;Segovia;5725;4509;1126;90;0
201105;Mayo de 2011;7;Castilla y León;42;Soria;3315;2566;675;74;0
201105;Mayo de 2011;7;Castilla y León;47;Valladolid;22489;17571;4200;718;0
201105;Mayo de 2011;7;Castilla y León;49;Zamora;6961;4979;1724;258;0
201105;Mayo de 2011;8;Castilla - La Mancha;2;Albacete;20280;13391;5930;959;0
201105;Mayo de 2011;8;Castilla - La Mancha;13;Ciudad Real;24184;15769;7478;937;0
201105;Mayo de 2011;8;Castilla - La Mancha;16;Cuenca;8537;5721;2542;274;0
201105;Mayo de 2011;8;Castilla - La Mancha;19;Guadalajara;13149;10020;2941;188;0
201105;Mayo de 2011;8;Castilla - La Mancha;45;Toledo;37271;26214;10058;999;0
201105;Mayo de 2011;9;Cataluña;8;Barcelona;320135;250740;65002;4393;0
201105;Mayo de 2011;9;Cataluña;17;Girona;37263;27627;9154;482;0
201105;Mayo de 2011;9;Cataluña;25;Lleida;19194;14707;4176;311;0
201105;Mayo de 2011;9;Cataluña;43;Tarragona;43478;32167;10380;931;0
201105;Mayo de 2011;10;Comunitat Valenciana;3;Alicante/Alacant;92505;58301;28565;5639;0
201105;Mayo de 2011;10;Comunitat Valenciana;12;Castellón/Castelló;37631;27111;9920;600;0
201105;Mayo de 2011;10;Comunitat Valenciana;46;Valencia/Valéncia;143270;105004;33969;4297;0
201105;Mayo de 2011;11;Extremadura;6;Badajoz;38845;18399;13020;2475;4951
201105;Mayo de 2011;11;Extremadura;10;Cáceres;22070;11462;6738;791;3079
201105;Mayo de 2011;12;Galicia;15;Coruña, A;52056;38357;12086;1613;0
201105;Mayo de 2011;12;Galicia;27;Lugo;12194;8838;2991;365;0
201105;Mayo de 2011;12;Galicia;32;Ourense;13133;8533;4051;549;0
201105;Mayo de 2011;12;Galicia;36;Pontevedra;51494;37273;12547;1674;0
201105;Mayo de 2011;13;Madrid, Comunidad de;28;Madrid;301935;245664;51914;4357;0
201105;Mayo de 2011;14;Murcia, Región de;30;Murcia;71747;50814;17956;2977;0
