Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2021S004663;24/03/2021;16:14;CALL. BENITO GUTIERREZ / CALL. MARTIN DE LOS HEROS;-;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Mujer;
2021S004681;24/03/2021;16:00;AVDA. ARCENTALES / CALL. ESTOCOLMO;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;14
2021S004681;24/03/2021;16:00;AVDA. ARCENTALES / CALL. ESTOCOLMO;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;07
2021S004651;24/03/2021;15:30;CALL. MEQUINENZA;2;SAN BLAS-CANILLEJAS;Otro;Despejado;Tractocamión;Conductor;DE 45 A 49 AÑOS;Hombre;
2021S004651;24/03/2021;15:30;CALL. MEQUINENZA;2;SAN BLAS-CANILLEJAS;Otro;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;
2021S004651;24/03/2021;15:30;CALL. MEQUINENZA;2;SAN BLAS-CANILLEJAS;Otro;Despejado;Turismo;Pasajero;DE 50 A 54 AÑOS;Hombre;
2021S004652;24/03/2021;15:25;AUTOV. M-30, +00400I;-;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;DESCONOCIDA;;
2021S004652;24/03/2021;15:25;AUTOV. M-30, +00400I;-;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;
2021S004652;24/03/2021;15:25;AUTOV. M-30, +00400I;-;CHAMARTÍN;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;
2021S004656;24/03/2021;15:20;AVDA. MIGUEL DELIBES;30;VICÁLVARO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 60 A 64 AÑOS;Hombre;
2021S004656;24/03/2021;15:20;AVDA. MIGUEL DELIBES;30;VICÁLVARO;Choque contra obstáculo fijo;Despejado;Camión rígido;Conductor;DESCONOCIDA;;
2021S004650;24/03/2021;15:10;AVDA. MEDITERRANEO;24;RETIRO;Colisión múltiple;Despejado;Motocicleta > 125cc;Conductor;DE 45 A 49 AÑOS;Mujer;07
2021S004650;24/03/2021;15:10;AVDA. MEDITERRANEO;24;RETIRO;Colisión múltiple;Despejado;Autobús;Conductor;DE 40 A 44 AÑOS;Hombre;14
2021S004650;24/03/2021;15:10;AVDA. MEDITERRANEO;24;RETIRO;Colisión múltiple;Despejado;Camión rígido;Conductor;DE 50 A 54 AÑOS;Hombre;14
