Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;;
2020S000001;01/01/2020;1:15;AVDA. CANILLEJAS A VICALVARO / CALL. SILFIDE;-;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;;;
2020S000001;01/01/2020;1:15;AVDA. CANILLEJAS A VICALVARO / CALL. SILFIDE;-;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;;;
2020S000004;01/01/2020;1:00;CALL. MANDARINA;5;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;;;
2020S000004;01/01/2020;1:00;CALL. MANDARINA;5;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;;
2020S000004;01/01/2020;1:00;CALL. MANDARINA;5;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Furgoneta;Conductor;DESCONOCIDA;;;;
2020S000014;01/01/2020;1:00;PLAZA. CIBELES / CALL. ALCALA;-;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;;;
2020S000014;01/01/2020;1:00;PLAZA. CIBELES / CALL. ALCALA;-;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;;;
2020S000089;02/01/2020;23:15;CALL. HONDURAS; 1A;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;;;
2020S000089;02/01/2020;23:15;CALL. HONDURAS; 1A;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 40 A 44 AÑOS;Mujer;;;
2020S000089;02/01/2020;23:15;CALL. HONDURAS; 1A;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;;;
2020S000087;02/01/2020;23:00;CALL. ANTONIO LOPEZ;230;USERA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 65 A 69 AÑOS;Hombre;14;;
2020S000087;02/01/2020;23:00;CALL. ANTONIO LOPEZ;230;USERA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 60 A 64 AÑOS;Mujer;14;;
2020S000087;02/01/2020;23:00;CALL. ANTONIO LOPEZ;230;USERA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;02;;
2020S000087;02/01/2020;23:00;CALL. ANTONIO LOPEZ;230;USERA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 21 A 24 AÑOS;Hombre;02;;
2020S000087;02/01/2020;23:00;CALL. ANTONIO LOPEZ;230;USERA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Hombre;02;;
2020S000086;02/01/2020;22:35;CALL. BRAVO MURILLO / INTER. PLAZA DE CASTILLA;-;TETUÁN;Colisión fronto-lateral;;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;;;
2020S000086;02/01/2020;22:35;CALL. BRAVO MURILLO / INTER. PLAZA DE CASTILLA;-;TETUÁN;Colisión fronto-lateral;;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;;;
2020S000288;02/01/2020;22:20;CALL. NARVAEZ / CALL. DOCTOR CASTELO;-;RETIRO;Colisión fronto-lateral;Despejado;Otros vehículos con motor;Conductor;DE 25 A 29 AÑOS;Hombre;07;;
2020S000288;02/01/2020;22:20;CALL. NARVAEZ / CALL. DOCTOR CASTELO;-;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;14;;
2020S000288;02/01/2020;22:20;CALL. NARVAEZ / CALL. DOCTOR CASTELO;-;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;07;;
2020S000081;02/01/2020;20:45;CALL. CARCASTILLO / CALL. CAMINO VIEJO DE LEGANES;-;CARABANCHEL;Colisión múltiple;Despejado;Furgoneta;Conductor;DE 35 A 39 AÑOS;Mujer;07;;
2020S000081;02/01/2020;20:45;CALL. CARCASTILLO / CALL. CAMINO VIEJO DE LEGANES;-;CARABANCHEL;Colisión múltiple;Despejado;Turismo;Conductor;DE 70 A 74 AÑOS;Mujer;02;;
2020S000081;02/01/2020;20:45;CALL. CARCASTILLO / CALL. CAMINO VIEJO DE LEGANES;-;CARABANCHEL;Colisión múltiple;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;14;;
2020S000081;02/01/2020;20:45;CALL. CARCASTILLO / CALL. CAMINO VIEJO DE LEGANES;-;CARABANCHEL;Colisión múltiple;Despejado;Turismo;Conductor;DE 70 A 74 AÑOS;Hombre;14;;
2020S000112;02/01/2020;20:22;AVDA. RAMON Y CAJAL / CALL. PRINCIPE DE VERGARA;-;CHAMARTÍN;Colisión lateral;Despejado;Turismo;Conductor;MAYOR DE 74 AÑOS;Hombre;14;;
2020S000112;02/01/2020;20:22;AVDA. RAMON Y CAJAL / CALL. PRINCIPE DE VERGARA;-;CHAMARTÍN;Colisión lateral;Despejado;Turismo;Pasajero;DE 70 A 74 AÑOS;Mujer;14;;
