ID;TERMS (PT-NPT);RELATIONS;PT;MT
c_ea7ea83c;Autoridad Laboral Europea;;;1006 instituciones de la Unión Europea y función pública europea
5930;Autoridad Palestina de Cisjordania y Franja de Gaza;USE;Palestina;7226 Asia-Oceanía
5930;Autoridad Palestina de Cisjordania y Franja de Gaza;USE;Palestina;7231 geografía económica
c_2f3d274d;Autoridad de Preparación y Respuesta ante Emergencias Sanitarias;;;1006 instituciones de la Unión Europea y función pública europea
4364;Auvernia;;;7211 regiones de los Estados miembros de la UE
c_0a700c19;Auvernia-Ródano-Alpes;;;7211 regiones de los Estados miembros de la UE
5454;Azerbaiyán;;;7206 Europa
5454;Azerbaiyán;;;7236 geografía política
5076;Azores;;;7211 regiones de los Estados miembros de la UE
4744;BAD;USE;Banco Africano de Desarrollo;7616 organizaciones extraeuropeas
4744;BAFD;USE;Banco Africano de Desarrollo;7616 organizaciones extraeuropeas
6336;BASD;USE;Banco Asiático de Desarrollo;7616 organizaciones extraeuropeas
5455;BCE;USE;Banco Central Europeo;1006 instituciones de la Unión Europea y función pública europea
6337;BCIE;USE;Banco Centroamericano de Integración Económica;7616 organizaciones extraeuropeas
6338;BDC;USE;Banco de Desarrollo del Caribe;7616 organizaciones extraeuropeas
4838;BEI;USE;Banco Europeo de Inversiones;1006 instituciones de la Unión Europea y función pública europea
5460;BERD;;;7611 organizaciones europeas
4859;BEUC;;;7611 organizaciones europeas
4872;BID;USE;Banco Interamericano de Desarrollo;7616 organizaciones extraeuropeas
8377;BIRD;USE;Banco Internacional de Reconstrucción y Fomento;7606 Naciones Unidas
8377;BIRF;USE;Banco Internacional de Reconstrucción y Fomento;7606 Naciones Unidas
5044;BPI;USE;Banco de Pagos Internacionales;7621 organizaciones mundiales
c_964c9649;BRICS;USE;países BRICS;7231 geografía económica
8506;Bacau;;;7211 regiones de los Estados miembros de la UE
4560;Baden-Wurtemberg;;;7211 regiones de los Estados miembros de la UE
4567;Bahamas;;;7216 América
4567;Bahamas;;;7231 geografía económica
4567;Bahamas;;;7236 geografía política
4572;Bahréin;;;7226 Asia-Oceanía
4572;Bahréin;;;7231 geografía económica
4572;Bahréin;;;7236 geografía política
451941;Bailía de Guernesey;USE;Guernesey;7206 Europa
451991;Bailía de Jersey;USE;Jersey ;7206 Europa
6194;Baja Austria;;;7211 regiones de los Estados miembros de la UE
4824;Baja Normandía;;;7211 regiones de los Estados miembros de la UE
4825;Baja Sajonia;;;7211 regiones de los Estados miembros de la UE
4690;Balcanes;USE;Balcanes Occidentales;7231 geografía económica
4690;Balcanes Occidentales;;;7231 geografía económica
3386;Baleares;USE;Islas Baleares;7211 regiones de los Estados miembros de la UE
4679;Bali;;;7226 Asia-Oceanía
3248;Banca electrónica;;;2416 instituciones financieras y de crédito
4744;Banco Africano de Desarrollo;;;7616 organizaciones extraeuropeas
6336;Banco Asiático de Desarrollo;;;7616 organizaciones extraeuropeas
5455;Banco Central Europeo;;;1006 instituciones de la Unión Europea y función pública europea
6337;Banco Centroamericano de Integración Económica;;;7616 organizaciones extraeuropeas
4838;Banco Europeo de Inversiones;;;1006 instituciones de la Unión Europea y función pública europea
5460;Banco Europeo de Reconstrucción y Desarrollo;USE;BERD;7611 organizaciones europeas
5090;Banco Hipotecario de España;USE;caja hipotecaria;2416 instituciones financieras y de crédito
4872;Banco Interamericano de Desarrollo;;;7616 organizaciones extraeuropeas
8377;Banco Internacional de Reconstrucción y Desarrollo;USE;Banco Internacional de Reconstrucción y Fomento;7606 Naciones Unidas
8377;Banco Internacional de Reconstrucción y Fomento;;;7606 Naciones Unidas
4812;Banco Mundial;;;7606 Naciones Unidas
4752;Banco de Crédito Agrícola;USE;banco agrícola;2416 instituciones financieras y de crédito
6338;Banco de Desarrollo del Caribe;;;7616 organizaciones extraeuropeas
5644;Banco de Desarrollo del Consejo de Europa;USE;fondo del Consejo de Europa;7611 organizaciones europeas
4763;Banco de España;USE;banco central;2411 economía monetaria
5044;Banco de Pagos Internacionales;;;7621 organizaciones mundiales
4732;Bangladesh;;;7226 Asia-Oceanía
4732;Bangladesh;;;7231 geografía económica
4816;Barbados;;;7216 América
4816;Barbados;;;7231 geografía económica
4816;Barbados;;;7236 geografía política
4823;Basilicata;;;7211 regiones de los Estados miembros de la UE
1611;Basutolandia;USE;Lesotho;7221 África
1611;Basutolandia;USE;Lesotho;7231 geografía económica
4835;Baviera;;;7211 regiones de los Estados miembros de la UE
4841;Belice;;;7216 América
4841;Belice;;;7231 geografía económica
4841;Belice;;;7236 geografía política
4844;Benelux;;;7611 organizaciones europeas
4846;Benín;;;7221 África
4846;Benín;;;7231 geografía económica
4847;Berlín;;;7211 regiones de los Estados miembros de la UE
4848;Bermudas;;;7216 América
4848;Bermudas;;;7241 países y territorios de ultramar
4862;Bhután;;;7226 Asia-Oceanía
4862;Bhután;;;7231 geografía económica
5458;Bielorrusia;;;7206 Europa
5458;Bielorrusia;;;7236 geografía política
8511;Bihor;;;7211 regiones de los Estados miembros de la UE
4699;Bildschirmtext;USE;videotex interactivo;3226 comunicación
4966;Birmania;USE;Myanmar/Birmania;7226 Asia-Oceanía
4966;Birmania;USE;Myanmar/Birmania;7231 geografía económica
8512;Bistrita-Nasaud;;;7211 regiones de los Estados miembros de la UE
7998;Blekinge;;;7211 regiones de los Estados miembros de la UE
7853;Bohemia Central;USE;Región de Bohemia Central;7211 regiones de los Estados miembros de la UE
