substation_name,provincia,municipio,utm_x,utm_y,available_capacity_mw,voltage_kv,distributor_network,latitude,longitude
3532,Alicante/Alacant,Elx/Elche,696079.542978328,4236410.95806171,0.0,132.0,i-DE,38.25434841632306,-0.7590520173444091
3532,Alicante/Alacant,Elx/Elche,696079.542978328,4236410.95806171,0.0,66.0,i-DE,38.25434841632306,-0.7590520173444091
3636,Alicante/Alacant,Ibi,710022.993781875,4276527.61905519,0.0,132.0,i-DE,38.612419330147326,-0.5878257482769754
3636,Alicante/Alacant,Ibi,710022.993781875,4276527.61905519,0.0,20.0,i-DE,38.612419330147326,-0.5878257482769754
3636,Alicante/Alacant,Ibi,710022.993781875,4276527.61905519,0.0,20.0,i-DE,38.612419330147326,-0.5878257482769754
3612,Alicante/Alacant,Xàbia/Jávea,771938.817278518,4296824.20098885,0.0,132.0,i-DE,38.778247403019186,0.13038253215190834
3612,Alicante/Alacant,Xàbia/Jávea,771938.817278518,4296824.20098885,0.0,20.0,i-DE,38.778247403019186,0.13038253215190834
3612,Alicante/Alacant,Xàbia/Jávea,771938.817278518,4296824.20098885,0.0,20.0,i-DE,38.778247403019186,0.13038253215190834
3550,Alicante/Alacant,Xixona/Jijona,719968.006660285,4263440.84644605,6.69,132.0,i-DE,38.49218582672534,-0.47782740788793854
3550,Alicante/Alacant,Xixona/Jijona,719968.006660285,4263440.84644605,0.0,20.0,i-DE,38.49218582672534,-0.47782740788793854
3621,Alicante/Alacant,Benidorm,751782.697974346,4272857.92062259,0.0,132.0,i-DE,38.568525981324896,-0.11004846157001423
3621,Alicante/Alacant,Benidorm,751782.697974346,4272857.92062259,0.0,20.0,i-DE,38.568525981324896,-0.11004846157001423
3621,Alicante/Alacant,Benidorm,751782.697974346,4272857.92062259,0.0,20.0,i-DE,38.568525981324896,-0.11004846157001423
3589,Alicante/Alacant,la Nucia,753979.77193731,4277409.14777018,0.0,132.0,i-DE,38.60886328910234,-0.08320254696724731
3589,Alicante/Alacant,la Nucia,753979.77193731,4277409.14777018,0.0,20.0,i-DE,38.60886328910234,-0.08320254696724731
