segment_id,Carretera,road_prefix,PK_inicio,PK_fin,length_km,imd_total,imd_ligeros,imd_pesados,n_stations,is_tent,max_spacing_km,cod_prov
108,A-66,A,478.66,551.65,69.6688125,12287.325,9696.9,2590.425,40.0,True,60,10
109,A-66,A,551.65,617.787,65.467046875,11468.40625,9116.03125,2352.375,32.0,True,60,10
110,A-66,A,625.09,684.29,59.7428671875,16720.6875,13077.0625,3643.625,48.0,True,60,06
111,A-66,A,684.29,772.6,83.21765625,14799.354166666666,11438.9375,3360.4166666666665,48.0,True,60,06
112,A-66,A,772.6,809.74,37.76043359375,27837.8,24138.25,3699.55,20.0,True,60,41
113,A-67,A,0.0,8.39,8.34201171875,17076.0,15148.25,1927.75,12.0,True,60,34
114,A-67,A,8.39,103.49,95.1683671875,7365.6875,6447.166666666667,918.5208333333334,48.0,False,120,34
115,A-67,A,103.49,181.81,78.1572109375,18234.729166666668,15870.166666666666,2364.5625,48.0,True,60,39
116,A-67,A,182.61,205.23,22.146171875,52646.85,49296.4,3350.45,20.0,True,60,39
117,A-67,A,205.23,205.233,0.0010983446836471558,17655.364583333336,,,,False,120,39
118,A-68,A,84.1,116.54,32.402779296875,26040.75,,,,False,120,31
119,A-68,A,223.82,233.17,9.25015625,19587.625,17382.125,2205.5,8.0,False,120,50
120,A-68,A,233.17,234.38,1.282176025390625,26040.75,24610.5,1430.25,4.0,False,120,50
121,A-68,A,243.2,246.18,3.169131591796875,47906.0,40272.0,7634.0,1.0,False,120,50
122,A-68,A,246.18,255.1,8.9338779296875,31823.5,24986.5,6837.0,4.0,False,120,50
123,A-68,A,255.1,269.13,14.0518564453125,25790.2,18637.3,7152.9,10.0,False,120,50
124,A-7,A,274.01,298.19,24.25207421875,32682.65,25958.35,6724.3,20.0,False,120,12
125,A-7,A,306.7,306.72,0.037400657653808594,43249.91666666667,,,,False,120,46
126,A-7,A,306.72,324.07,17.584904296875,83265.41666666667,61668.916666666664,21596.5,12.0,True,60,46
127,A-7,A,324.07,336.05,11.7076279296875,67142.0,48879.0,18263.0,4.0,True,60,46
