segment_id,route_segment,daily_bev_traffic_2027,n_chargers_needed,seasonal_multiplier,is_tent,tent_tier,imd_total,length_km
371,N-332,468.7,2,1.0,False,none,13671.1,13.4110576171875
372,N-332,335.7,2,1.0,False,none,9791.2,13.720244140625
373,N-332A,113.0,2,1.0,False,none,3295.3,0.8293539428710938
374,N-332A,108.8,2,1.0,False,none,3174.5,2.590514404296875
375,N-332R,268.8,2,1.0,False,none,7840.5,2.60128125
376,N-334,1797.5,4,1.0,False,none,52428.5,0.328698974609375
377,N-334,1797.5,4,1.0,False,none,52428.5,0.5540328369140625
378,N-340,282.7,2,1.0,False,none,8246.2,0.7593203125
379,N-340,282.7,2,1.0,False,none,8246.2,2.827858642578125
380,N-340,32.2,2,1.0,False,none,938.8,5.26944384765625
381,N-340,813.2,2,1.0,False,none,23717.5,2.755636474609375
382,N-340,331.0,2,1.0,False,none,9655.5,2.730749267578125
383,N-340,269.4,2,1.0,False,none,7856.8,3.1113173828125
384,N-340,174.2,2,1.0,False,none,5080.2,1.6788414306640624
385,N-340,282.7,2,1.0,False,none,8246.2,0.3852363586425781
386,N-340,282.7,2,1.0,False,none,8246.2,0.6343848876953125
387,N-340,453.7,2,1.0,False,none,13233.1,36.5886328125
388,N-340,282.7,4,1.0,True,comprehensive,8246.2,1.83838037109375
389,N-340,284.9,4,1.0,True,comprehensive,8310.4,107.747734375
390,N-340,282.7,2,1.0,False,none,8246.2,4.03895556640625
391,N-340,277.5,2,1.0,False,none,8092.4,45.6714296875
392,N-340,282.7,2,1.0,False,none,8246.2,7.44058349609375
393,N-340,582.4,2,1.0,False,none,16987.2,1.7970108642578124
394,N-340,495.2,2,1.0,False,none,14443.5,6.291443359375
395,N-340,282.7,2,1.0,False,none,8246.2,0.16739219665527344
396,N-340,637.3,2,1.0,False,none,18588.2,73.4642578125
397,N-340,282.7,2,1.0,False,none,8246.2,1.3644903564453126
398,N-340,1006.4,3,1.0,False,none,29352.2,3.119683837890625
399,N-340A,351.9,2,1.0,False,none,10265.0,6.47902880859375
400,N-340A,28.0,2,1.0,False,none,818.0,5.42771484375
401,N-340A,233.8,2,1.0,False,none,6819.0,2.1828720703125
402,N-340A,175.3,2,1.0,False,none,5114.2,9.9816943359375
403,N-340A,233.8,2,1.0,False,none,6819.0,0.45378335571289063
