request_id,request_received_date,request_type,transport_node_name_voltage,transport_position,autonomous_community,requested_access_capacity_mw,publication_month_end_date,contest_node
GENT-AC7-49188-26,2026-02-05,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,FAUSITA 220,FAU220-EER,Región de Murcia,94,2026-03-16,NO
GENT-48564-26,2026-01-14,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,FUENTE DE CANTOS 400,FUCN400-C1FC1,Extremadura,100,,SI
GENT-AC10-48664-26,2026-01-19,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,GUADAME 400,GMD400-PMGU1,Andalucía,30,2026-03-16,NO
GENT-AC5-49195-26,2026-02-04,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,GAZULES 220,GZU220-C1AL1,Andalucía,17.5,2026-03-16,NO
GENT-AC3-48742-26,2026-01-20,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,HERRERA 400,HRR400-PRHE1,Castilla y León,27.31,,SI
GENT-AC4-48740-26,2026-01-20,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,HERRERA 400,HRR400-PRHE1,Castilla y León,43.31,,SI
GENT-AC11-49063-26,2026-01-29,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,JOSE CABRERA 220,JCB220-C1JC1,Castilla-La Mancha,38.24,2026-03-16,NO
GENT-AC7-48083-25,2026-01-14,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,LEGANES 220,LEG220-CRRN1,Comunidad de Madrid,50,2026-03-16,NO
GENT-AC29-49160-26,2026-02-01,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,LA LORA 400,LRA400-ATP1,Castilla y León,10,,SI
DEA-49219-26,2026-02-03,Solicitud de consumo solicitando permiso en posición con motivación dedicada a la conexión de consumo.,MAGALLON 400,MAG400-PRMG1,Aragón,13.75,2026-03-16,NO
DEA-49225-26,2026-02-06,Solicitud de consumo solicitando permiso en posición con motivación dedicada a la conexión de consumo.,MAGALLON 400,MAG400-PRMG1,Aragón,200,2026-03-16,NO
DEA-49226-26,2026-02-03,Solicitud de consumo solicitando permiso en posición con motivación dedicada a la conexión de consumo.,MAGALLON 400,MAG400-PRMG1,Aragón,11.75,2026-03-16,NO
GENT-AC9-48963-26,2026-02-05,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,MONCAYO 220,MCY220-C1MN1,Castilla y León,49.54,2026-03-16,NO
DEA-49115-26,2026-02-02,Solicitud de consumo solicitando permiso en posición con motivación dedicada a la conexión de consumo.,MUNIESA 400,MNS400-MPRO1,Aragón,1,2026-03-16,NO
DEA-AC2-49108-26,2026-02-03,Solicitud de actualización de consumo existente destinada a incrementar la capacidad de acceso otorgado.,MEZQUITA 400,MQT400-C1MZ1,Aragón,20,2026-03-16,NO
DEA-48498-26,2026-01-16,Solicitud de consumo solicitando permiso en posición con motivación dedicada a la conexión de consumo.,MURUARTE 220,MUA220-TRP3,Comunidad Foral de Navarra,20,2026-03-16,NO
DEA-AC5-48672-26,2026-01-16,Solicitud de actualización de consumo existente destinada a incrementar la capacidad de acceso otorgado.,MUDARRA 400,MUD400-MZL1,Castilla y León,19.8,2026-03-16,NO
GENT-AC11-49298-26,2026-02-06,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,MANZANARES 400,MZS400-CLMN1,Castilla-La Mancha,13.44,2026-03-16,NO
GENT-AC22-48602-26,2026-01-15,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,MANZANARES 400,MZS400-CLMN1,Castilla-La Mancha,16,2026-03-16,NO
