establecimiento,tipo,categoria,nombre,municipio,web,telefono,wikidata,imagen municipio,poblacion municipio,longitud,latitud
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,LA CUADRA DE LA TILA,Castrejón de la Peña,www.latilacasarural.com,678860910,http://www.wikidata.org/entity/Q1929204,https://www.wikidata.org/wiki/Q1929204#/media/File:AyuntamientoCastrejónPeña_001.JPG,332,-4.625658,42.7680609990595
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,LA TILA,Castrejón de la Peña,,678860910,http://www.wikidata.org/entity/Q1929204,https://www.wikidata.org/wiki/Q1929204#/media/File:AyuntamientoCastrejónPeña_001.JPG,332,-4.667255,42.82024199905938
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,CASA MEDIAVILLA,Cervera de Pisuerga,,979877636,http://www.wikidata.org/entity/Q1771120,https://www.wikidata.org/wiki/Q1771120#/media/File:Cervera_de_Pisuerga_-_021_(41066436862).jpg,2256,-4.5077053,42.86137019905927
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,"LOS PERALEJOS ""A""",Cervera de Pisuerga,,979184286,http://www.wikidata.org/entity/Q1771120,https://www.wikidata.org/wiki/Q1771120#/media/File:Cervera_de_Pisuerga_-_021_(41066436862).jpg,2256,-4.5583772,42.90136819905918
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,LA ACEÑA,Cervera de Pisuerga,www.casarural-acena.com,979870264,http://www.wikidata.org/entity/Q1771120,https://www.wikidata.org/wiki/Q1771120#/media/File:Cervera_de_Pisuerga_-_021_(41066436862).jpg,2256,-4.423605499999999,42.85353989905929
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,"LOS PERALEJOS ""B""",Cervera de Pisuerga,,979184286,http://www.wikidata.org/entity/Q1771120,https://www.wikidata.org/wiki/Q1771120#/media/File:Cervera_de_Pisuerga_-_021_(41066436862).jpg,2256,-4.5583772,42.90136819905918
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,LA TOBA,Cevico Navero,www.latobacasarural.com,607516354,http://www.wikidata.org/entity/Q1919414,https://www.wikidata.org/wiki/Q1919414#/media/File:Cevico_Navero_vistas.jpg,189,-4.1860705,41.861469499062245
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,HOTEL RURAL SAN PEDRO,Frómista,,979810016,http://www.wikidata.org/entity/Q988834,https://www.wikidata.org/wiki/Q988834#/media/File:San_Martin_Fromista.jpg,768,-4.404694,42.268307999060895
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,FINCA SANTA EUFEMIA CASA DEL PASTOR,Olmos de Ojeda,www.lagranjasantaeufemia.com,636328534,http://www.wikidata.org/entity/Q1919129,https://www.wikidata.org/wiki/Q1919129#/media/File:Santa_Eufemia_-_Olmos_de_Ojeda_-_panoramio.jpg,195,-4.424273,42.729963999059606
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,FINCA SANTA EUFEMIA CASA DE LA ERA,Olmos de Ojeda,www.lagranjasantaeufemia.com,979142414,http://www.wikidata.org/entity/Q1919129,https://www.wikidata.org/wiki/Q1919129#/media/File:Santa_Eufemia_-_Olmos_de_Ojeda_-_panoramio.jpg,195,-4.424281,42.7300999990596
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,FINCA SANTA EUFEMIA CASA DEL CAPELLAN,Olmos de Ojeda,www.lagranjasantaeufemia.com,636328534,http://www.wikidata.org/entity/Q1919129,https://www.wikidata.org/wiki/Q1919129#/media/File:Santa_Eufemia_-_Olmos_de_Ojeda_-_panoramio.jpg,195,-4.424492,42.7301199990596
